OBJECTID,Id,SurveyDate,VerifiedDate,MeasuredGirth,MeasuredHeight,EstimatedGirth,Latitude,Longitude,GridReference,Species,TreeForm,RecorderOrganisationName,LocalName,StandingStatus,LivingStatus,PublicAccessibilityStatus,VeteranStatus,x,y,RegionID,RegionName,Country,CountryHL,ProtectionFlag,EpiphyteFlag,FungusFlag,ConditionFlag,SpecialStatusFlag,SurroundingsFlag,SpeciesGroup,LivingGroup,AshDieback,PublicAccessibilityGroup
0,310013,11/08/2017,11/08/2017,5.5,0.1,True,52.12433000,-2.96633820,SO3394047776,Field maple,Multi stem,Unknown,Unknown,Standing,Alive,Public - restricted access,Veteran tree,333940.2352818850,247775.0105367480,UKG,West Midlands (England),England,UK,0,1,0,1,0,1,Maple,Alive,N/A,Public
1,285152,21/08/2017,09/08/2018,2.37,1.5,False,53.27989300,-1.06156650,SK6266976290,Common lime,Maiden,Unknown,Unknown,Standing,Alive,Public - open access,Veteran tree,462668.9740692560,376287.8696411060,UKF,East Midlands (England),England,UK,0,0,0,0,0,1,Lime,Alive,N/A,Public
2,270002,30/12/2008,21/06/2013,7.8,1.5,False,50.77903600,-3.65265610,SX83589902,Hybrid black poplar ''serotina'',Stump,Unknown,Unknown,Fallen,Collapsed,Public - partial access,Veteran tree,283581.2122773460,99021.02985643310,UKK,South West (England),England,UK,0,0,0,1,0,1,Poplar,Unknown,N/A,Public
3,277182,27/06/2023,04/07/2023,4.5,1.5,False,52.08743410,-0.94438746,SP7242543756,Pedunculate oak,Maiden,Unknown,Unknown,Standing,Alive,Public - partial access (e.g. next to footpath or road),Veteran tree,472423.9253493390,243755.5797746350,UKF,East Midlands (England),England,UK,0,0,0,0,0,0,Oak,Alive,N/A,Public
4,298289,04/01/2009,04/01/2009,5.0,1.5,False,51.47579200,-2.64356850,ST55407540,Pedunculate oak,Maiden,Unknown,Unknown,Standing,Alive,Public - open access,Veteran tree,355400.2557311140,175400.1579829090,UKK,South West (England),England,UK,0,1,0,1,0,1,Oak,Alive,N/A,Public
